Experiment;Runs;Death Costs;Avg. Cost;Avg. Deaths;Avg. Interventions
Layabout;0;-;26.8767;0;2.891
PreShielded;1500;-;22.9961;0;1.324
NoShield;1500;1000;29.2742;0;0
NoShield;1500;100;23.3411;0;0
NoShield;1500;10;22.1185;0.046;0
PostShielded;1500;1000;29.3205;0;0
PostShielded;1500;100;23.9121;0;0.929
PostShielded;1500;10;24.7695;0;1.798
PreShielded;3000;-;20.9346;0;0.887
NoShield;3000;1000;22.719;0;0
NoShield;3000;100;25.5366;0;0
NoShield;3000;10;19.7725;0.075;0
PostShielded;3000;1000;23.9217;0;0.746
PostShielded;3000;100;26.2504;0;0.339
PostShielded;3000;10;23.1811;0;1.51
PreShielded;6000;-;21.0676;0;0.686
NoShield;6000;1000;21.8207;0;0
NoShield;6000;100;23.2786;0;0
NoShield;6000;10;20.3593;0.007;0
PostShielded;6000;1000;21.9624;0;0.542
PostShielded;6000;100;25.0366;0;0.819
PostShielded;6000;10;21.7129;0;1.073
PreShielded;12000;-;21.178;0;0.831
NoShield;12000;1000;21.827;0;0
NoShield;12000;100;21.7051;0;0
NoShield;12000;10;19.9003;0.006;0
PostShielded;12000;1000;21.9855;0;0.808
PostShielded;12000;100;22.1832;0;0.804
PostShielded;12000;10;21.1322;0;1.075
Layabout;0;-;26.9507;0;2.916
PreShielded;1500;-;21.6402;0;0.365
NoShield;1500;1000;24.8334;0;0
NoShield;1500;100;27.3796;0;0
NoShield;1500;10;22.7022;0.008;0
PostShielded;1500;1000;25.4521;0;0.842
PostShielded;1500;100;28.4549;0;1.061
PostShielded;1500;10;22.8782;0;0.993
PreShielded;3000;-;21.4702;0;0.951
NoShield;3000;1000;28.0019;0;0
NoShield;3000;100;22.4483;0;0
NoShield;3000;10;21.4077;0.021;0
PostShielded;3000;1000;28.0764;0;0
PostShielded;3000;100;23.383;0;1.056
PostShielded;3000;10;23.2032;0;0.904
PreShielded;6000;-;21.1607;0;0.89
NoShield;6000;1000;23.244;0;0
NoShield;6000;100;21.5421;0.002;0
NoShield;6000;10;21.2942;0.019;0
PostShielded;6000;1000;23.9826;0;0.738
PostShielded;6000;100;23.5169;0;1.005
PostShielded;6000;10;22.6375;0;1.053
PreShielded;12000;-;21.0323;0;0.615
NoShield;12000;1000;24.119;0;0
NoShield;12000;100;20.9431;0;0
NoShield;12000;10;20.3616;0;0
PostShielded;12000;1000;25.036;0;0.766
PostShielded;12000;100;22.005;0;0.976
PostShielded;12000;10;22.5005;0;1.234
Layabout;0;-;26.8852;0;2.879
PreShielded;1500;-;21.0904;0;0.907
NoShield;1500;1000;27.4103;0;0
NoShield;1500;100;24.0512;0;0
NoShield;1500;10;22.6502;0.062;0
PostShielded;1500;1000;28.3415;0;1.073
PostShielded;1500;100;24.7967;0;0.812
PostShielded;1500;10;23.873;0;1.234
PreShielded;3000;-;21.4829;0;0.239
NoShield;3000;1000;22.4859;0;0
NoShield;3000;100;22.8135;0;0
NoShield;3000;10;20.1799;0.066;0
PostShielded;3000;1000;23.6501;0;0.768
PostShielded;3000;100;24.0032;0;0.929
PostShielded;3000;10;21.5584;0;1.106
PreShielded;6000;-;21.3553;0;0.559
NoShield;6000;1000;23.4923;0;0
NoShield;6000;100;22.5573;0;0
NoShield;6000;10;20.5338;0;0
PostShielded;6000;1000;23.5205;0;0.697
PostShielded;6000;100;24.5525;0;0.991
PostShielded;6000;10;21.2213;0;0.719
PreShielded;12000;-;20.9884;0;0.843
NoShield;12000;1000;21.4202;0;0
NoShield;12000;100;21.5216;0;0
NoShield;12000;10;20.3211;0.009;0
PostShielded;12000;1000;21.8883;0;0.587
PostShielded;12000;100;21.8314;0;0.671
PostShielded;12000;10;21.2548;0;1.018
Layabout;0;-;26.9431;0;2.87
PreShielded;1500;-;23.9349;0;0.884
NoShield;1500;1000;28.4516;0;0
NoShield;1500;100;24.7497;0.004;0
NoShield;1500;10;22.5834;0.002;0
PostShielded;1500;1000;28.5223;0;0.009
PostShielded;1500;100;25.1386;0;1.173
PostShielded;1500;10;23.1086;0;0.891
PreShielded;3000;-;24.4552;0;0.489
NoShield;3000;1000;28.1254;0;0
NoShield;3000;100;23.1306;0.001;0
NoShield;3000;10;22.1064;0.061;0
PostShielded;3000;1000;27.761;0;0.397
PostShielded;3000;100;24.441;0;1.121
PostShielded;3000;10;24.9251;0;1.2
PreShielded;6000;-;21.3325;0;0.841
NoShield;6000;1000;22.6637;0;0
NoShield;6000;100;23.1335;0.001;0
NoShield;6000;10;20.3429;0.044;0
PostShielded;6000;1000;24.0756;0;0.885
PostShielded;6000;100;23.7871;0;0.844
PostShielded;6000;10;21.651;0;1.171
PreShielded;12000;-;21.1492;0;0.61
NoShield;12000;1000;21.9802;0;0
NoShield;12000;100;20.8012;0;0
NoShield;12000;10;20.1902;0.003;0
PostShielded;12000;1000;22.2614;0;0.576
PostShielded;12000;100;21.8331;0;1.012
