Experiment;Runs;Death Costs;Avg. Swings;Avg. Deaths;Avg. Interventions
Layabout;0;-;69.29;0;69.161
PreShielded;1500;-;38.09;0;0.565
NoShield;1500;1000;40.822;0.012;0
NoShield;1500;100;40.623;0.012;0
NoShield;1500;10;0.024;5.041;0
PostShielded;1500;1000;66.489;0;46.192
PostShielded;1500;100;65.293;0;41.371
PostShielded;1500;10;69.313;0;69.236
PreShielded;3000;-;37.926;0;1.325
NoShield;3000;1000;42.028;0.015;0
NoShield;3000;100;41.177;0.142;0
NoShield;3000;10;0.039;5.064;0
PostShielded;3000;1000;65.941;0;44.694
PostShielded;3000;100;65.933;0;48.646
PostShielded;3000;10;69.3;0;69.244
PreShielded;6000;-;37.761;0;0.386
PreShielded;12000;-;37.054;0;0.256
Layabout;0;-;69.184;0;69.334
PreShielded;1500;-;37.911;0;1.273
NoShield;1500;1000;40.081;0.007;0
NoShield;1500;100;41.5;0.066;0
NoShield;1500;10;0.211;5.039;0
PostShielded;1500;1000;61.545;0;34.229
PostShielded;1500;100;63.341;0;40.167
PostShielded;1500;10;69.204;0;69.307
PreShielded;3000;-;37.684;0;0.378
NoShield;3000;1000;43.199;0.024;0
NoShield;3000;100;42.418;0.115;0
NoShield;3000;10;0.017;5.051;0
PostShielded;3000;1000;64.585;0;41.199
PostShielded;3000;100;67.82;0;52.276
PostShielded;3000;10;69.247;0;69.103
PreShielded;6000;-;37.109;0;0.137
NoShield;6000;1000;39.23;0.003;0
NoShield;6000;100;44.635;0.07;0
NoShield;6000;10;0.126;5.05;0
PostShielded;6000;1000;58.219;0;28.768
PostShielded;6000;100;64.699;0;39.011
PostShielded;6000;10;69.24;0;69.186
NoShield;12000;1000;39.051;0.005;0
NoShield;12000;100;41.441;0.061;0
NoShield;12000;10;0;5.051;0
PostShielded;12000;1000;63.712;0;41.681
PostShielded;12000;100;66.841;0;50.262
PostShielded;12000;10;69.256;0;69.182
Layabout;0;-;69.164;0;69.246
NoShield;1500;1000;41.333;0.01;0
NoShield;1500;100;41.766;0.185;0
NoShield;1500;10;0.131;5.033;0
PostShielded;1500;1000;61.674;0;31.492
PostShielded;1500;100;63.032;0;37.409
PostShielded;1500;10;69.188;0;69.25
PreShielded;3000;-;37.838;0;0.685
NoShield;3000;1000;42.459;0.046;0
NoShield;3000;100;41.834;0.038;0
NoShield;3000;10;0.207;5.054;0
PostShielded;3000;1000;64.122;0;41.681
PostShielded;3000;100;63.837;0;39.508
PostShielded;3000;10;69.277;0;69.207
PreShielded;6000;-;37.581;0;0.388
NoShield;6000;1000;39.235;0.004;0
NoShield;6000;100;40.663;0.117;0
NoShield;6000;10;0;5.045;0
PostShielded;6000;1000;64.278;0;41.529
PostShielded;6000;100;67.646;0;51.61
PostShielded;6000;10;69.283;0;69.212
PreShielded;12000;-;36.949;0;0.161
NoShield;12000;1000;39.981;0.004;0
NoShield;12000;100;40.47;0.071;0
NoShield;12000;10;0.021;5.064;0
PostShielded;12000;1000;62.738;0;39.039
PostShielded;12000;100;66.876;0;49.302
PostShielded;12000;10;69.246;0;69.25
Layabout;0;-;69.162;0;69.123
PreShielded;1500;-;38.042;0;0.746
NoShield;1500;1000;38.824;0;0
NoShield;1500;100;43;0.074;0
NoShield;1500;10;0;5.074;0
PostShielded;1500;1000;52.065;0;19.126
PostShielded;1500;100;66.074;0;45.146
PostShielded;1500;10;69.226;0;69.239
PreShielded;3000;-;37.508;0;1.193
NoShield;3000;1000;40.386;0;0
NoShield;3000;100;42.486;0.056;0
NoShield;3000;10;0.021;5.042;0
PostShielded;3000;1000;66.214;0;31.086
PostShielded;3000;100;66.086;0;47.797
PostShielded;3000;10;69.088;0;69.269
NoShield;6000;-;42.097;0.005;0
PostShielded;6000;-;64.46;0;41.658
PreShielded;12000;-;36.877;0;0.174
Layabout;0;-;69.071;0;69.246
PreShielded;1500;-;38.411;0;0.624
NoShield;1500;1000;44.382;0.018;0
NoShield;1500;100;42.263;0.007;0
NoShield;1500;10;0.259;5.057;0
PreShielded;3000;-;38.564;0;0.825
NoShield;3000;1000;38.813;0;0
NoShield;3000;100;43.408;0.139;0
NoShield;3000;10;0.027;5.053;0
PostShielded;3000;1000;59.497;0;29.983
PostShielded;3000;100;65.44;0;48.074
PostShielded;3000;10;69.187;0;69.232
PreShielded;6000;-;37.138;0;0.185
PreShielded;12000;-;37.153;0;0.342
PostShielded;12000;-;63.259;0;39.83
Layabout;0;-;69.243;0;69.208
PreShielded;1500;-;39.178;0;1.2
NoShield;1500;1000;46.528;0.085;0
NoShield;1500;100;42.375;0.193;0
NoShield;1500;10;0;5.055;0
PostShielded;1500;1000;66.916;0;50.632
PostShielded;1500;100;70.926;0;46.315
PostShielded;1500;10;69.284;0;69.2
PreShielded;3000;-;37.74;0;0.594
PreShielded;6000;-;36.969;0;0.488
NoShield;6000;1000;38.97;0.001;0
NoShield;6000;100;40.415;0.047;0
NoShield;6000;10;0.03;5.056;0
PostShielded;6000;1000;61.952;0;36.593
PostShielded;6000;100;64.881;0;43.7
PostShielded;6000;10;69.154;0;69.176
PreShielded;12000;-;37.308;0;0.423
Layabout;0;-;69.26;0;69.294
PreShielded;1500;-;39.114;0;1.057
NoShield;1500;1000;41.817;0;0
NoShield;1500;100;40.538;0.036;0
NoShield;1500;10;0.194;5.055;0
PostShielded;1500;1000;47.031;0;6.156
PostShielded;1500;100;66.765;0;48.049
PostShielded;1500;10;69.168;0;69.091
PreShielded;3000;-;37.565;0;1.006
NoShield;3000;1000;41.641;0.012;0
NoShield;3000;100;43.255;0.217;0
NoShield;3000;10;0;5.049;0
PostShielded;3000;1000;62.132;0;36.836
PostShielded;3000;100;66.662;0;48.848
PostShielded;3000;10;69.115;0;69.145
PreShielded;6000;-;37.288;0;0.257
NoShield;6000;1000;40.195;0.015;0
NoShield;6000;100;40.392;0.083;0
NoShield;6000;10;0;5.05;0
PostShielded;6000;1000;65.147;0;43.79
PostShielded;6000;100;66.505;0;49.027
PostShielded;6000;10;69.247;0;69.277
PreShielded;12000;-;37.169;0;0.247
NoShield;12000;1000;38.343;0.001;0
NoShield;12000;100;40.355;0.056;0
NoShield;12000;10;0;5.06;0
PostShielded;12000;1000;61.246;0;35.683
PostShielded;12000;100;67.141;0;50.166
PostShielded;12000;10;69.208;0;69.196
Layabout;0;-;69.217;0;69.277
PreShielded;1500;-;38.357;0;1.476
NoShield;1500;1000;38.584;0.002;0
NoShield;1500;100;47.072;0.323;0
NoShield;1500;10;0.034;5.068;0
PostShielded;1500;1000;61.336;0;34.98
PostShielded;1500;100;66.957;0;50.379
PostShielded;1500;10;69.187;0;69.138
PreShielded;3000;-;36.995;0;0.643
NoShield;3000;1000;41.677;0.004;0
NoShield;3000;100;41.759;0.052;0
NoShield;3000;10;0.465;5.048;0
PostShielded;3000;1000;62.58;0;36.6
PostShielded;3000;100;63.971;0;40.941
PostShielded;3000;10;69.21;0;69.239
PreShielded;6000;-;37.056;0;0.424
NoShield;6000;1000;40.604;0.018;0
NoShield;6000;100;40.235;0.024;0
NoShield;6000;10;0;5.054;0
PostShielded;6000;1000;66.556;0;47.114
PostShielded;6000;100;65.388;0;44.213
PostShielded;6000;10;69.277;0;69.235
PreShielded;12000;-;36.735;0;0.067
Layabout;0;-;69.269;0;69.238
